ordre,idweb,id_article_spip,fichier,acheteur,intitule_factuel,statut
1,26-86396,33,radiographie_26-86396.ipynb,"Ville de Mèze","Prestation de lutte intégrée contre les nuisibles",EN_PREPARATION
2,26-83178,32,radiographie_26-83178.ipynb,"Sète Agglopôle Méditerranée","Location de véhicules de collecte des déchets",EN_PREPARATION
3,26-79835,31,radiographie_26-79835.ipynb,"Sète Agglopôle Méditerranée","Fourniture de colonnes aériennes pour la collecte des déchets",EN_PREPARATION
4,26-67880,12,radiographie_26-67880.ipynb,"Sète Agglopôle Méditerranée","Traitement et valorisation des déchets conchylicoles",EN_PREPARATION
5,26-62858,649,radiographie_26-62858.ipynb,"Ville de Sète","Révision générale du Plan local d’urbanisme",EN_PREPARATION
6,25-85828,639,radiographie_25-85828.ipynb,"Ville de Balaruc-les-Bains","Fourniture de véhicules neufs ou d’occasion",EN_PREPARATION
7,26-70532,642,radiographie_26-70532.ipynb,"Ville de Sète","Tonte des gazons et entretien des espaces plantés",EN_PREPARATION
8,26-73820,2,radiographie_26-73820.ipynb,"Commune de Bouzigues","Prestations de services d’assurance",EN_PREPARATION
9,26-74518,91,radiographie_26-74518.ipynb,"Ville de Balaruc-les-Bains","Requalification du quai des Ondines et de la jetée du Port Centre",EN_PREPARATION
10,26-74720,647,radiographie_26-74720.ipynb,"Ville de Balaruc-les-Bains","Réhabilitation et végétalisation du Théâtre de Verdure",EN_PREPARATION
11,26-76746,92,radiographie_26-76746.ipynb,"Sète Agglopôle Méditerranée","Conseil et mise en œuvre du dialogue citoyen",EN_PREPARATION

